site,spp_1,species,count,day,month,season,year,time,sunrise,sunset,m_60
Crawfordsburn,Squirrel,Grey Squirrel,1,29,4,spring,2014,12:39:00,04:52,19:56,7.28
Clandeboye,Fallow,Fallow Deer,1,22,7,summer,2013,13:26:00,04:20,20:44,7.3
Mount Stewart,Rabbit,Rabbit,1,20,5,spring,2013,13:17:00,04:12,20:35,7.3
Cregagh Glen,Squirrel,Grey Squirrel,1,18,5,spring,2014,11:34:00,04:15,20:31,7.3
Mount Stewart,Squirrel,Red Squirrel,1,20,5,spring,2014,11:31:00,04:12,20:34,7.3
Mount Stewart,Squirrel,Red Squirrel,1,20,5,spring,2014,13:16:00,04:12,20:34,7.3
Crawfordsburn,Squirrel,Grey Squirrel,1,7,5,spring,2014,12:53:00,04:35,20:11,7.3
Lisnaskea Forest,Squirrel,Squirrel,1,9,8,summer,2015,12:54:00,04:50,20:12,7.3
Carncastle,Hare,Hare,1,26,6,summer,2015,11:10:00,03:50,21:07,7.32
Mount Stewart,Squirrel,Red Squirrel,1,19,5,spring,2014,13:14:00,04:14,20:33,7.32
Clandeboye,Fallow,Fallow Deer,1,25,6,summer,2013,13:47:00,03:50,21:07,7.03
Clandeboye,Fallow,Fallow Deer,1,19,7,summer,2013,13:28:00,04:15,20:49,7.35
Lisnaskea Forest,Squirrel,Squirrel ,1,8,8,summer,2015,12:53:00,04:48,20:14,7.35
Crawfordsburn,Squirrel,Grey Squirrel,1,24,5,spring,2014,13:19:00,04:06,20:41,7.37
Mount Stewart,Squirrel,Red Squirrel,1,22,5,spring,2013,13:16:00,04:09,20:38,7.37
Crawfordsburn,Squirrel,Grey Squirrel,1,7,5,spring,2014,11:58:00,04:35,20:11,7.37
Cregagh Glen,Squirrel,Grey Squirrel,1,20,5,spring,2014,13:12:00,04:12,20:34,7.37
Ardmore,Hare,Hare,1,22,7,summer,2015,13:22:00,04:19,20:45,7.38
Cregagh Glen,Squirrel,Grey Squirrel,1,21,5,spring,2014,11:34:00,04:10,20:36,7.38
Crawfordsburn,Squirrel,Grey Squirrel,1,8,5,spring,2014,11:58:00,04:33,20:13,7.4
Cregagh Glen,Squirrel,Grey Squirrel,1,19,5,spring,2014,11:39:00,04:14,20:33,7.4
Lisnaskea Forest,Squirrel,Squirrel,1,9,8,summer,2015,12:48:00,04:50,20:12,7.4
Clandeboye,Fallow,Fallow Deer,2,3,7,summer,2013,13:40:00,03:55,21:05,7.42
Clandeboye,Fox,Fox,1,4,7,summer,2013,13:39:00,03:56,21:04,7.42
Redburn,Squirrel,Grey Squirrel,1,16,5,spring,2014,13:03:00,04:18,20:28,7.42
Lisnaskea Forest,Fallow,Fallow Deer,3,6,8,summer,2015,12:52:00,04:44,20:18,7.43
Clandeboye,Fallow,Fallow Deer,1,24,7,summer,2013,13:14:00,04:23,20:41,7.45
Moneymore,Hare,Hare,1,22,6,summer,2013,13:40:00,03:49,21:07,7.45
Cregagh Glen,Squirrel,Grey Squirrel,1,19,5,spring,2014,13:06:00,04:14,20:33,7.45
Cregagh Glen,Squirrel,Grey Squirrel,1,13,5,spring,2014,11:52:00,04:24,20:22,7.45
Clandeboye,Fallow,Fallow Deer,1,24,7,summer,2013,13:13:00,04:23,20:41,7.47
Clandeboye,Fallow,Fallow Deer,1,26,6,summer,2013,11:20:00,03:51,21:07,7.47
Redburn,Squirrel,Grey Squirrel,1,16,5,spring,2014,11:47:00,04:18,20:28,7.47
Crawfordsburn,Squirrel,Grey Squirrel,1,24,5,spring,2014,13:13:00,04:06,20:41,7.47
Mount Stewart,Fox,Fox,1,19,4,spring,2013,12:09:00,05:14,19:38,7.48
Clandeboye,Fallow,Fallow Deer,1,25,7,summer,2013,13:10:00,04:25,20:40,7.05
Clandeboye,Fallow,Fallow Deer,1,25,6,summer,2013,13:37:00,03:50,21:07,7.05
Carncastle,Hare,Hare,1,25,6,summer,2015,11:21:00,03:50,21:07,7.05
Crawfordsburn,Squirrel,Grey Squirrel,1,29,4,spring,2014,12:26:00,04:52,19:56,7.05
Crawfordsburn,Squirrel,Grey Squirrel,1,7,5,spring,2014,12:41:00,04:35,20:11,7.05
Lisnaskea Forest,Squirrel,Squirrel,1,9,8,summer,2015,12:42:00,04:50,20:12,7.05
Clandeboye,Fallow,Fallow Deer,1,27,6,summer,2013,13:36:00,03:51,21:07,7.52
Redburn,Squirrel,Grey Squirrel,1,17,5,spring,2014,11:49:00,04:17,20:29,7.52
Magherafelt,Squirrel,Grey squirrel,1,29,6,summer,2015,11:25:00,03:52,21:07,7.53
Ballywalter,Squirrel,Red Squirrel,1,12,6,summer,2014,13:30:00,03:49,21:03,7.55
Carncastle,Hare,Hare,1,26,6,summer,2015,13:33:00,03:50,21:07,7.57
Redburn,Squirrel,Grey Squirrel,1,17,5,spring,2014,12:55:00,04:17,20:29,7.57
Ballywalter,Squirrel,Red Squirrel,1,5,5,spring,2014,12:32:00,04:39,20:08,7.6
Lisnaskea Forest,Squirrel,Squirrel,1,9,8,summer,2015,12:36:00,04:50,20:12,7.6
Clandeboye,Fallow,Fallow Deer,1,8,7,summer,2013,13:24:00,04:01,21:01,7.62
Crawfordsburn,Squirrel,Grey Squirrel,1,24,5,spring,2014,13:04:00,04:06,20:41,7.62
Cregagh Glen,Squirrel,Grey Squirrel,1,20,5,spring,2014,12:57:00,04:12,20:34,7.62
Crawfordsburn,Squirrel,Grey Squirrel,1,8,5,spring,2014,12:35:00,04:33,20:13,7.63
Lisnaskea Forest,Squirrel,Squirrel,1,8,8,summer,2015,12:35:00,04:48,20:14,7.65
Mount Stewart,Squirrel,Red Squirrel,1,20,5,spring,2014,11:56:00,04:12,20:34,7.72
Clandeboye,Rabbit,Rabbit,1,5,7,summer,2013,13:20:00,03:57,21:04,7.73
Mount Stewart,Rabbit,Rabbit,1,7,6,summer,2013,11:37:00,03:52,20:59,7.73
Crawfordsburn,Squirrel,Grey Squirrel,1,21,5,spring,2014,11:56:00,04:10,20:36,7.75
Crawfordsburn,Squirrel,Grey Squirrel,1,27,4,spring,2014,12:08:00,04:56,19:53,7.75
Crawfordsburn,Squirrel,Grey Squirrel,1,30,4,spring,2014,12:13:00,04:50,19:58,7.75
Clandeboye,Fallow,Fallow Deer,1,28,6,summer,2013,13:21:00,03:52,21:07,7.77
Lisnaskea Forest,Fallow,Fallow Deer,3,8,8,summer,2015,12:28:00,04:48,20:14,7.77
Mount Stewart,Squirrel,Red Squirrel,1,1,5,spring,2014,12:14:00,04:47,20:00,7.77
Ballywalter,Squirrel,Red Squirrel,1,12,6,summer,2014,13:17:00,03:49,21:03,7.77
Clandeboye,Fallow,Fallow Deer,1,22,6,summer,2013,13:20:00,03:49,21:07,7.78
Bellaghy,Hare,Hare,1,27,5,spring,2013,11:50:00,04:02,20:45,7.78
Crawfordsburn,Squirrel,Grey Squirrel,1,15,5,spring,2014,12:37:00,04:20,20:26,7.82
Clandeboye,Fallow,Fallow Deer,1,1,7,summer,2013,13:16:00,03:54,21:06,7.08
Lisnaskea Forest,Fallow,Fallow Deer,4,8,8,summer,2015,12:23:00,04:48,20:14,7.85
Carncastle,Rabbit,Rabbit,1,24,6,summer,2015,11:41:00,03:50,21:07,7.85
Cregagh Glen,Squirrel,Grey Squirrel,1,19,5,spring,2014,12:42:00,04:14,20:33,7.85
Ballywalter,Squirrel,Red Squirrel,1,5,5,spring,2014,12:17:00,04:39,20:08,7.85
Redburn,Squirrel,Grey Squirrel,1,17,5,spring,2014,12:38:00,04:17,20:29,7.85
Clandeboye,Fallow,Fallow Deer,3,23,7,summer,2013,12:51:00,04:21,20:43,7.87
Crawfordsburn,Squirrel,Grey Squirrel,1,7,5,spring,2014,12:19:00,04:35,20:11,7.87
Clandeboye,Fox,Fox,1,4,7,summer,2013,11:51:00,03:56,21:04,7.9
Clandeboye,Fallow,Fallow Deer,1,30,6,summer,2013,11:49:00,03:53,21:06,7.92
Crawfordsburn,Squirrel,Grey Squirrel,1,8,5,spring,2014,12:18:00,04:33,20:13,7.92
Crawfordsburn,Squirrel,Grey Squirrel,1,6,5,spring,2014,12:14:00,04:37,20:10,7.93
Cregagh Glen,Squirrel,Grey Squirrel,1,21,5,spring,2014,12:40:00,04:10,20:36,7.93
Magherafelt,Hare,Hare,1,29,6,summer,2015,11:50:00,03:52,21:07,7.95
Clandeboye,Fallow,Fallow Deer,1,13,7,summer,2013,12:58:00,04:07,20:56,7.97
Mount Stewart,Rabbit,Rabbit,1,10,6,summer,2013,11:49:00,03:50,21:02,7.97
Crawfordsburn,Squirrel,Grey Squirrel,1,29,5,spring,2014,12:50:00,04:00,20:48,7.97
Clandeboye,Fallow,Fallow Deer,1,25,6,summer,2013,11:51:00,03:50,21:07,8
Clandeboye,Fallow,Fallow Deer,1,31,7,summer,2013,12:28:00,04:35,20:29,8.02
Lisnaskea Forest,Squirrel,Squirrel,1,9,8,summer,2015,12:11:00,04:50,20:12,8.02
Crawfordsburn,Squirrel,Grey Squirrel,1,6,5,spring,2014,12:06:00,04:37,20:10,8.07
Redburn,Squirrel,Grey Squirrel,2,16,5,spring,2014,12:24:00,04:18,20:28,8.07
Crawfordsburn,Squirrel,Grey Squirrel,1,5,5,spring,2014,12:03:00,04:39,20:08,8.08
Crawfordsburn,Squirrel,Grey Squirrel,1,8,5,spring,2014,12:08:00,04:33,20:13,8.08
Clandeboye,Fallow,Fallow Deer,1,29,6,summer,2013,13:01:00,03:52,21:07,8.1
Clandeboye,Fallow,Fallow Deer,1,16,7,summer,2013,12:46:00,04:11,20:53,8.12
Clandeboye,Fallow,Fallow Deer,1,26,6,summer,2013,12:59:00,03:51,21:07,8.13
Redburn,Squirrel,Grey Squirrel,1,18,5,spring,2014,12:23:00,04:15,20:31,8.13
Clandeboye,Fallow,Fallow Deer,1,14,7,summer,2013,12:43:00,04:08,20:55,8.2
Carncastle,Hare,Hare,1,24,6,summer,2015,12:55:00,03:50,21:07,8.2
Redburn,Squirrel,Grey Squirrel,2,17,5,spring,2014,12:17:00,04:17,20:29,8.2
Clandeboye,Fallow,Fallow Deer,1,28,6,summer,2013,12:54:00,03:52,21:07,8.22
Mount Stewart,Rabbit,Rabbit,1,12,6,summer,2013,12:50:00,03:49,21:03,8.22
Clandeboye,Fallow,Fallow Deer,1,23,6,summer,2013,12:53:00,03:49,21:07,8.23
Mount Stewart,Rabbit,Rabbit,1,6,6,summer,2013,12:44:00,03:52,20:58,8.23
Clandeboye,Fallow,Fallow Deer,1,18,7,summer,2013,12:33:00,04:14,20:50,8.28
Magherafelt,Hare,Hare,1,29,6,summer,2015,12:50:00,03:52,21:07,8.28
Cregagh Glen,Squirrel,Grey Squirrel,1,21,5,spring,2014,12:19:00,04:10,20:36,8.28
Mount Stewart,Rabbit,Rabbit,1,14,5,spring,2013,12:07:00,04:21,20:25,8.3
Redburn,Squirrel,Grey Squirrel,1,16,5,spring,2014,12:06:00,04:18,20:28,8.37
Redburn,Squirrel,Grey Squirrel,1,17,5,spring,2014,12:04:00,04:17,20:29,8.42
Clandeboye,Fallow,Fallow Deer,1,15,7,summer,2013,12:27:00,04:09,20:54,8.45
Cregagh Glen,Squirrel,Grey Squirrel,1,21,5,spring,2014,12:07:00,04:10,20:36,8.48
Clandeboye,Fallow,Fallow Deer,3,8,7,summer,2013,12:31:00,04:01,21:01,8.05
Clandeboye,Fallow,Fallow Deer,2,17,7,summer,2013,12:15:00,04:12,20:51,8.6
Clandeboye,Fallow,Fallow Deer,1,28,6,summer,2013,12:29:00,03:52,21:07,8.63
Clandeboye,Squirrel,Grey Squirrel,1,30,6,summer,2013,12:26:00,03:53,21:06,8.07
Clandeboye,Fallow,Fallow Deer,1,11,7,summer,2013,12:13:00,04:04,20:58,8.75
Carncastle,Hare,Hare,1,24,6,summer,2015,12:15:00,03:50,21:07,8.87
Clandeboye,Fallow,Fallow Deer,1,25,6,summer,2013,12:09:00,03:50,21:07,8.97
Lisnaskea Forest,Squirrel,Squirrel,1,1,10,autumn,2015,18:05:00,06:28,18:03,-0.02
Lisnaskea Forest,Sika,Sika,1,22,11,autumn,2015,08:08:00,08:09,16:14,-0.02
Lisnaskea Forest,Badger,Badger,1,5,5,spring,2016,21:07:00,05:36,21:06,-0.02
Lisnaskea Forest,Badger,Badger,1,6,5,spring,2016,21:09:00,05:34,21:08,-0.02
Lisnaskea Forest,Rabbit,Rabbit,1,12,5,spring,2016,05:22:00,05:23,21:18,-0.02
Lisnaskea Forest,Badger,Badger,1,23,5,spring,2016,05:04:00,05:05,21:37,-0.02
Lisnaskea Forest,Badger,Badger,1,13,6,summer,2016,22:02:00,04:47,22:01,-0.02
Lisnaskea Forest,Badger,Badger,1,15,6,summer,2016,22:03:00,04:47,22:02,-0.02
Lisnaskea Forest,Marten,Pine Marten,1,6,8,summer,2015,04:42:00,04:44,20:18,-0.03
Lisnaskea Forest,Sika,Sika,5,1,9,autumn,2015,19:22:00,05:32,19:19,-0.03
Lisnaskea Forest,Rabbit,Rabbit,1,7,5,spring,2016,21:11:00,05:32,21:09,-0.03
Lisnaskea Forest,Squirrel,Grey Squirrel,1,29,6,summer,2016,04:49:00,04:51,22:03,-0.03
Lisnaskea Forest,Fallow,Fallow Deer,1,6,8,summer,2015,20:22:00,04:44,20:18,-0.05
Lisnaskea Forest,Marten,Pine Marten,1,8,8,summer,2015,04:45:00,04:48,20:14,-0.05
Lisnaskea Forest,Badger,Badger,1,8,5,spring,2016,05:27:00,05:30,21:11,-0.05
Lisnaskea Forest,Badger,Badger,1,8,5,spring,2016,05:27:00,05:30,21:11,-0.05
Lisnaskea Forest,Badger,Badger,1,21,7,summer,2016,21:45:00,05:17,21:42,-0.05
Lisnaskea Forest,Marten,Pine Marten,1,6,9,autumn,2015,05:37:00,05:41,19:06,-0.07
Lisnaskea Forest,Marten,Pine Marten,1,21,9,autumn,2015,06:05:00,06:09,18:28,-0.07
Lisnaskea Forest,Squirrel,Squirrel,1,11,10,autumn,2015,17:43:00,06:47,17:38,-0.07
Lisnaskea Forest,Rabbit,Rabbit,3,15,5,spring,2016,21:28:00,05:17,21:24,-0.07
Lisnaskea Forest,Badger,Badger,1,6,6,summer,2016,21:59:00,04:51,21:55,-0.07
Lisnaskea Forest,Badger,Badger,1,10,7,summer,2016,22:00:00,05:01,21:56,-0.07
Lisnaskea Forest,Fox,Fox,1,11,7,summer,2016,21:59:00,05:03,21:55,-0.07
Lisnaskea Forest,Sika,Sika,1,4,9,autumn,2015,19:17:00,05:38,19:11,-0.08
Lisnaskea Forest,Marten,Pine Marten,1,8,9,autumn,2015,05:40:00,05:45,19:01,-0.08
Lisnaskea Forest,Mouse,Wood mouse,1,5,5,spring,2016,21:11:00,05:36,21:06,-0.08
Lisnaskea Forest,Badger,Badger,1,11,5,spring,2016,21:22:00,05:25,21:17,-0.08
Lisnaskea Forest,Squirrel,Squirrel,1,24,11,autumn,2015,08:07:00,08:13,16:12,-0.1
Lisnaskea Forest,Badger,Badger,1,8,5,spring,2016,21:17:00,05:30,21:11,-0.1
Lisnaskea Forest,Badger,Badger,1,10,5,spring,2016,05:20:00,05:26,21:15,-0.1
Lisnaskea Forest,Rabbit,Rabbit,1,20,6,summer,2016,22:10:00,04:47,22:04,-0.1
Lisnaskea Forest,Badger,Badger,1,29,7,summer,2016,05:24:00,05:30,21:29,-0.1
Lisnaskea Forest,Sika,Sika,1,8,8,summer,2015,20:22:00,04:48,20:14,-0.12
Lisnaskea Forest,Mouse,Wood mouse,1,15,9,autumn,2015,05:51:00,05:58,18:44,-0.12
Lisnaskea Forest,Squirrel,Squirrel,1,4,10,autumn,2015,18:04:00,06:33,17:56,-0.12
Lisnaskea Forest,Badger,Badger,1,8,5,spring,2016,05:23:00,05:30,21:11,-0.12
Lisnaskea Forest,Badger,Badger,1,8,5,spring,2016,21:18:00,05:30,21:11,-0.12
Lisnaskea Forest,Fox,Fox,1,31,7,summer,2016,05:26:00,05:33,21:26,-0.12
Lisnaskea Forest,Marten,Pine Marten,1,8,9,autumn,2015,05:37:00,05:45,19:01,-0.13
Lisnaskea Forest,Badger,Badger,1,15,5,spring,2016,05:09:00,05:17,21:24,-0.13
Lisnaskea Forest,Marten,Pine Marten,1,18,9,autumn,2015,05:54:00,06:03,18:36,-0.15
Lisnaskea Forest,Badger,Badger,1,16,6,summer,2016,04:38:00,04:47,22:02,-0.15
Lisnaskea Forest,Fox,Fox,1,1,8,summer,2016,21:33:00,05:35,21:24,-0.15
Lisnaskea Forest,Squirrel,Squirrel,1,4,10,autumn,2015,18:07:00,06:33,17:56,-0.02
Lisnaskea Forest,Rabbit,Rabbit,1,23,6,summer,2016,04:38:00,04:48,22:04,-0.02
Lisnaskea Forest,Mouse,Wood mouse,1,15,9,autumn,2015,05:47:00,05:58,18:44,-0.18
Lisnaskea Forest,Rabbit,Rabbit,1,10,5,spring,2016,21:26:00,05:26,21:15,-0.18
Lisnaskea Forest,Badger,Badger,1,11,5,spring,2016,05:14:00,05:25,21:17,-0.18
Lisnaskea Forest,Badger,Badger,1,25,5,spring,2016,04:51:00,05:02,21:40,-0.18
Lisnaskea Forest,Marten,Pine Marten,1,8,9,autumn,2015,05:33:00,05:45,19:01,-0.2
Lisnaskea Forest,Rabbit,Rabbit,1,23,5,spring,2016,21:49:00,05:05,21:37,-0.2
Lisnaskea Forest,Marten,Pine Marten,1,6,9,autumn,2015,05:28:00,05:41,19:06,-0.22
Lisnaskea Forest,Marten,Pine Marten,1,9,10,autumn,2015,06:30:00,06:43,17:43,-0.22
Lisnaskea Forest,Badger,Badger,1,11,5,spring,2016,21:30:00,05:25,21:17,-0.22
Lisnaskea Forest,Rabbit,Rabbit,1,21,5,spring,2016,04:55:00,05:08,21:34,-0.22
Lisnaskea Forest,Badger,Badger,1,8,6,summer,2016,22:10:00,04:49,21:57,-0.22
Lisnaskea Forest,Badger,Badger,1,12,6,summer,2016,04:35:00,04:48,22:00,-0.22
Lisnaskea Forest,Mouse,Wood mouse,1,4,8,summer,2016,21:37:00,05:40,21:24,-0.22
Lisnaskea Forest,Fox,Fox,1,1,10,autumn,2015,06:14:00,06:28,18:03,-0.23
Lisnaskea Forest,Sika,Sika,1,23,11,autumn,2015,07:57:00,08:11,16:13,-0.23
Lisnaskea Forest,Rabbit,Rabbit,1,14,5,spring,2016,05:05:00,05:19,21:22,-0.23
Lisnaskea Forest,Badger,Badger,1,17,5,spring,2016,21:41:00,05:14,21:27,-0.23
Lisnaskea Forest,Fox,Fox,1,24,6,summer,2016,22:18:00,04:48,22:04,-0.23
Lisnaskea Forest,Sika,Sika,4,1,9,autumn,2015,19:35:00,05:32,19:19,-0.25
Lisnaskea Forest,Badger,Badger,1,9,6,summer,2016,22:13:00,04:49,21:58,-0.25
Lisnaskea Forest,Rabbit,Rabbit,1,19,7,summer,2016,22:00:00,05:14,21:45,-0.25
Lisnaskea Forest,Marten,Pine Marten,1,7,9,autumn,2015,05:27:00,05:43,19:04,-0.27
Lisnaskea Forest,Badger,Badger,1,8,5,spring,2016,21:27:00,05:30,21:11,-0.27
Lisnaskea Forest,Squirrel,Squirrel,1,29,9,autumn,2015,18:26:00,06:24,18:08,-0.28
Lisnaskea Forest,Squirrel,Squirrel,1,29,9,autumn,2015,18:26:00,06:24,18:08,-0.28
Lisnaskea Forest,Badger,Badger,1,14,5,spring,2016,21:39:00,05:19,21:22,-0.28
Lisnaskea Forest,Badger,Badger,1,28,5,spring,2016,04:42:00,04:59,21:44,-0.28
Lisnaskea Forest,Sika,Sika,1,4,9,autumn,2015,19:30:00,05:38,19:11,-0.3
Lisnaskea Forest,Sika,Sika,1,11,9,autumn,2015,19:13:00,05:51,18:54,-0.3
Lisnaskea Forest,Sika,Sika,1,29,9,autumn,2015,06:06:00,06:24,18:08,-0.3
Lisnaskea Forest,Marten,Pine Marten,1,2,10,autumn,2015,18:20:00,06:29,18:01,-0.3
Lisnaskea Forest,Sika,Sika,1,19,11,autumn,2015,07:46:00,08:04,16:19,-0.3
Lisnaskea Forest,Sika,Sika,1,23,11,autumn,2015,07:53:00,08:11,16:13,-0.3
Lisnaskea Forest,Badger,Badger,1,8,5,spring,2016,05:12:00,05:30,21:11,-0.3
Lisnaskea Forest,Badger,Badger,1,21,5,spring,2016,04:50:00,05:08,21:34,-0.3
Lisnaskea Forest,Squirrel,Grey Squirrel,1,24,6,summer,2016,22:22:00,04:48,22:04,-0.3
Lisnaskea Forest,Badger,Badger,1,18,7,summer,2016,22:05:00,05:12,21:47,-0.3
Lisnaskea Forest,Sika,Sika,2,2,9,autumn,2015,19:36:00,05:34,19:16,-0.32
Lisnaskea Forest,Rabbit,Rabbit,1,8,5,spring,2016,21:30:00,05:30,21:11,-0.32
Lisnaskea Forest,Rabbit,Rabbit,1,11,5,spring,2016,05:06:00,05:25,21:17,-0.32
Lisnaskea Forest,Badger,Badger,1,29,5,spring,2016,04:39:00,04:58,21:45,-0.32
Lisnaskea Forest,Badger,Badger,1,8,6,summer,2016,22:16:00,04:49,21:57,-0.32
Lisnaskea Forest,Squirrel,Grey Squirrel,1,22,6,summer,2016,04:28:00,04:47,22:04,-0.32
Lisnaskea Forest,Rabbit,Rabbit,1,13,7,summer,2016,04:46:00,05:05,21:53,-0.32
Lisnaskea Forest,Sika,Sika,1,19,11,autumn,2015,16:40:00,08:04,16:19,-0.03
Lisnaskea Forest,Sika,Sika,1,23,11,autumn,2015,07:51:00,08:11,16:13,-0.03
Lisnaskea Forest,Badger,Badger,1,11,5,spring,2016,21:37:00,05:25,21:17,-0.03
Lisnaskea Forest,Rabbit,Rabbit,1,11,5,spring,2016,05:05:00,05:25,21:17,-0.03
Lisnaskea Forest,Badger,Badger,1,13,5,spring,2016,21:40:00,05:21,21:20,-0.03
Lisnaskea Forest,Badger,Badger,1,18,5,spring,2016,04:53:00,05:13,21:29,-0.03
Lisnaskea Forest,Rabbit,Rabbit,1,19,7,summer,2016,22:05:00,05:14,21:45,-0.03
Lisnaskea Forest,Sika,Sika,4,5,9,autumn,2015,19:31:00,05:40,19:09,-0.35
Lisnaskea Forest,Sika,Sika,1,13,11,autumn,2015,16:50:00,07:52,16:28,-0.35
Lisnaskea Forest,Badger,Badger,1,28,6,summer,2016,22:24:00,04:50,22:03,-0.35
Lisnaskea Forest,Badger,Badger,1,3,8,summer,2016,05:18:00,05:39,21:24,-0.35
Lisnaskea Forest,Marten,Pine Marten,1,21,9,autumn,2015,05:47:00,06:09,18:28,-0.37
Lisnaskea Forest,Squirrel,Squirrel,1,30,9,autumn,2015,18:29:00,06:26,18:06,-0.37
Lisnaskea Forest,Fox,Fox,1,6,10,autumn,2015,06:15:00,06:37,17:51,-0.37
Lisnaskea Forest,Rabbit,Rabbit,1,15,5,spring,2016,21:46:00,05:17,21:24,-0.37
Lisnaskea Forest,Badger,Badger,1,7,6,summer,2016,04:28:00,04:50,21:56,-0.37
Lisnaskea Forest,Marten,Pine Marten,1,7,9,autumn,2015,05:20:00,05:43,19:04,-0.38
Lisnaskea Forest,Sika,Sika,1,29,9,autumn,2015,18:32:00,06:24,18:08,-0.38
Lisnaskea Forest,Squirrel,Squirrel,1,9,10,autumn,2015,18:07:00,06:43,17:43,-0.38
Lisnaskea Forest,Rabbit,Rabbit,1,10,5,spring,2016,05:03:00,05:26,21:15,-0.38
Lisnaskea Forest,Sika,Sika,6,6,9,autumn,2015,19:31:00,05:41,19:06,-0.4
Lisnaskea Forest,Fox,Fox,1,7,10,autumn,2015,06:15:00,06:39,17:48,-0.4
Lisnaskea Forest,Squirrel,Squirrel,1,7,10,autumn,2015,18:13:00,06:39,17:48,-0.4
Lisnaskea Forest,Badger,Badger,1,5,5,spring,2016,21:30:00,05:36,21:06,-0.4
Lisnaskea Forest,Badger,Badger,1,7,5,spring,2016,21:33:00,05:32,21:09,-0.4
Lisnaskea Forest,Rabbit,Rabbit,1,15,5,spring,2016,04:53:00,05:17,21:24,-0.4
Lisnaskea Forest,Squirrel,Squirrel,1,4,10,autumn,2015,18:22:00,06:33,17:56,-0.42
Lisnaskea Forest,Fox,Fox,1,3,8,summer,2016,05:14:00,05:39,21:24,-0.42
Lisnaskea Forest,Squirrel,Squirrel,1,16,9,autumn,2015,19:08:00,06:00,18:41,-0.43
Lisnaskea Forest,Badger,Badger,1,22,5,spring,2016,22:01:00,05:06,21:35,-0.43
Lisnaskea Forest,Mouse,Wood mouse,1,8,6,summer,2016,04:23:00,04:49,21:57,-0.43
Lisnaskea Forest,Badger,Badger,1,18,6,summer,2016,04:21:00,04:47,22:03,-0.43
Lisnaskea Forest,Mouse,Wood mouse,1,8,9,autumn,2015,05:18:00,05:45,19:01,-0.45
Lisnaskea Forest,Mouse,Wood mouse,1,15,9,autumn,2015,05:31:00,05:58,18:44,-0.45
Lisnaskea Forest,Marten,Pine Marten,1,2,10,autumn,2015,18:29:00,06:29,18:01,-0.45
Lisnaskea Forest,Marten,Pine Marten,1,3,10,autumn,2015,18:26:00,06:31,17:58,-0.45
Lisnaskea Forest,Squirrel,Squirrel,1,3,10,autumn,2015,18:26:00,06:31,17:58,-0.45
Lisnaskea Forest,Badger,Badger,1,4,8,summer,2015,04:13:00,04:41,20:22,-0.47
Lisnaskea Forest,Sika,Sika,1,29,9,autumn,2015,18:37:00,06:24,18:08,-0.47
Lisnaskea Forest,Badger,Badger,1,9,5,spring,2016,21:41:00,05:28,21:13,-0.47
Lisnaskea Forest,Rabbit,Rabbit,1,16,5,spring,2016,04:48:00,05:16,21:25,-0.47
Lisnaskea Forest,Badger,Badger,1,25,5,spring,2016,04:34:00,05:02,21:40,-0.47
Lisnaskea Forest,Badger,Badger,1,26,5,spring,2016,22:09:00,05:01,21:41,-0.47
Lisnaskea Forest,Mouse,Wood mouse,1,10,7,summer,2016,04:33:00,05:01,21:56,-0.47
Lisnaskea Forest,Badger,Badger,1,9,5,spring,2016,21:42:00,05:28,21:13,-0.48
Lisnaskea Forest,Badger,Badger,1,13,5,spring,2016,21:49:00,05:21,21:20,-0.48
Lisnaskea Forest,Badger,Badger,1,10,6,summer,2016,22:28:00,04:48,21:59,-0.48
Lisnaskea Forest,Rabbit,Rabbit,1,13,7,summer,2016,22:22:00,05:05,21:53,-0.48
Lisnaskea Forest,Badger,Badger,1,21,7,summer,2016,04:48:00,05:17,21:42,-0.48
Lisnaskea Forest,Marten,Pine Marten,1,2,10,autumn,2015,18:32:00,06:29,18:01,-0.05
Lisnaskea Forest,Badger,Badger,1,11,5,spring,2016,21:47:00,05:25,21:17,-0.05
Lisnaskea Forest,Badger,Badger,1,11,5,spring,2016,21:47:00,05:25,21:17,-0.05
Lisnaskea Forest,Badger,Badger ,1,9,6,summer,2016,04:19:00,04:49,21:58,-0.05
Lisnaskea Forest,Badger,Badger,2,8,5,spring,2016,21:42:00,05:30,21:11,-0.52
Lisnaskea Forest,Badger,Badger,1,8,5,spring,2016,21:42:00,05:30,21:11,-0.52
Lisnaskea Forest,Badger,Badger,1,10,5,spring,2016,21:46:00,05:26,21:15,-0.52
Lisnaskea Forest,Rabbit,Rabbit,1,12,5,spring,2016,21:49:00,05:23,21:18,-0.52
Lisnaskea Forest,Rabbit,Rabbit,1,15,5,spring,2016,21:55:00,05:17,21:24,-0.52
Lisnaskea Forest,Rabbit,Rabbit,1,16,5,spring,2016,04:45:00,05:16,21:25,-0.52
Lisnaskea Forest,Rabbit,Rabbit,1,18,5,spring,2016,22:00:00,05:13,21:29,-0.52
Lisnaskea Forest,Sika,Sika,2,5,9,autumn,2015,19:42:00,05:40,19:09,-0.53
Lisnaskea Forest,Badger,Badger,1,14,5,spring,2016,04:47:00,05:19,21:22,-0.53
Lisnaskea Forest,Sika,Sika,1,2,9,autumn,2015,19:50:00,05:34,19:16,-0.55
