site,spp_1,species,count,day,month,season,year,time,sunrise,sunset,m_60
Lisnaskea Forest,Mouse,Mouse,1,16,9,autumn,2015,00:27:00,06:00,18:41,-5.55
Mount Stewart,Badger,Badger,1,10,3,spring,2014,01:22:00,06:54,18:20,-5.53
Lisnaskea Forest,Marten,Pine Marten,1,14,11,autumn,2015,02:22:00,07:54,16:26,-5.53
Mount Stewart,Rabbit,Rabbit,1,13,3,spring,2014,01:14:00,06:46,18:26,-5.53
Mount Stewart,Badger,Badger,1,7,3,spring,2014,23:46:00,07:01,18:14,-5.52
Michael's Farm,Rabbit,Rabbit,1,4,10,autumn,2013,01:03:00,06:34,17:54,-5.52
Lisnaskea Forest,Marten,Pine Marten,1,7,10,autumn,2015,01:09:00,06:39,17:48,-5.05
Magho,Marten,Pine Marten,1,22,2,winter,2014,02:03:00,07:32,17:48,-5.48
Ballygrangee Manor,Badger,Badger,1,13,10,autumn,2013,01:23:00,06:51,17:32,-5.47
Curragh,Mouse,Wood mouse,1,21,2,winter,2014,23:15:00,07:35,17:46,-5.47
Michael's Farm,Fox,Fox,1,27,9,autumn,2013,23:40:00,06:21,18:12,-5.45
Lisnaskea Forest,Marten,Pine Marten,1,7,10,autumn,2015,01:13:00,06:39,17:48,-5.43
Curragh,Mouse,Wood mouse,1,21,2,winter,2014,02:09:00,07:35,17:46,-5.43
Curragh,Mouse,Wood mouse,1,20,2,winter,2014,23:11:00,07:37,17:44,-5.43
Erik & Cecil's,Mouse,Wood mouse,1,1,12,winter,2013,02:58:00,08:24,16:05,-5.43
Cooltrain,Mouse,Wood mouse,1,2,2,winter,2014,02:49:00,08:14,17:06,-5.42
Michael's Farm,Rabbit,Rabbit,1,22,9,autumn,2013,00:47:00,06:12,18:25,-5.42
Mount Stewart,Rabbit,Rabbit,1,14,3,spring,2014,23:54:00,06:44,18:28,-5.42
Reilly Wood,Fallow,Fallow Deer,1,6,3,spring,2014,01:40:00,07:04,18:12,-5.4
Lisnaskea Forest,Fox,Fox,1,1,9,autumn,2015,00:08:00,05:32,19:19,-5.4
Ballygrangee Manor,Fox,Fox,1,10,10,autumn,2013,01:22:00,06:46,17:40,-5.4
Moneymore,Hare,Hare,1,8,4,spring,2013,00:16:00,05:40,19:17,-5.4
Reilly Wood,Fallow,Fallow Deer,2,6,3,spring,2014,01:41:00,07:04,18:12,-5.38
Lisnaskea Forest,Marten,Pine Marten,1,7,10,autumn,2015,01:16:00,06:39,17:48,-5.38
Michael's Farm,Fox,Fox,1,3,10,autumn,2013,23:20:00,06:32,17:57,-5.37
Lisnaskea Forest,Marten,Pine Marten,1,18,9,autumn,2015,23:59:00,06:03,18:36,-5.37
Lisnaskea Forest,Marten,Pine Marten,1,4,10,autumn,2015,01:11:00,06:33,17:56,-5.37
Michael's Farm,Rabbit,Rabbit,1,26,9,autumn,2013,00:57:00,06:19,18:14,-5.37
Middletown,Rabbit,Rabbit,1,16,3,spring,2015,01:18:00,06:40,18:31,-5.37
Mount Stewart,Rabbit,Rabbit,1,10,3,spring,2014,01:32:00,06:54,18:20,-5.37
